CaseNo,Address_1,DateOpened_1,CaseType,OpenClosed,Status,StatusDate_1
20671053#132             ,1053 Winburn Dr #132,02/05/2014,Housing   ,Closed,Closed/Cancelled-No Response from Tenant          ,02/07/2014
00231249#B               ,1249 Alexandria Dr #B,02/05/2014,Housing   ,Closed,Invalid Complaint                                 ,02/17/2014
03073745CONDEM#2         ,3745 Camelot Dr #2,02/05/2014,Housing   ,Closed,Closed Out                                        ,04/23/2014
03073745CONDEM#4         ,3745 Camelot Dr #4,02/05/2014,Housing   ,Closed,Closed Out                                        ,04/23/2014
12040253-5               ,253 E Loudon Ave,02/05/2014,Housing   ,Closed,Closed Out                                        ,03/04/2014
17852081-2               ,2081 St Teresa Dr,02/05/2014,Housing   ,Closed,Closed Out                                        ,03/26/2014
19890454-2               ,454 N Martin Luther King Blvd,02/05/2014,Housing   ,Closed,Closed Out                                        ,03/26/2014
11601749#102             ,1749 Liberty Rd #102,02/05/2014,Housing   ,Closed,Closed Out                                        ,07/24/2014
34061025-2               ,1025 Majestic Dr,02/05/2014,Housing   ,Closed,Closed Out                                        ,05/01/2014
16900306W7               ,306 E Seventh St,02/05/2014,Nuisance  ,Closed,Nuisance Closed w/Civil Penalty                   ,02/27/2014
15892068#4               ,2068 Regency Rd #4,02/05/2014,Housing   ,Open  ,Housing w/Civil Penalty                           ,09/18/2014
14380231-3               ,231 Osage Ct,02/05/2014,Housing   ,Closed,Housing Closed w/Civil Penalty                    ,07/08/2014
12591582#7               ,1582 Martha Ct #7,02/04/2014,Housing   ,Open  ,Housing w/Civil Penalty                           ,09/26/2014
08923324-3               ,3324 Hartston Dr,02/04/2014,Housing   ,Closed,Closed Out                                        ,05/06/2014
32210815EMER             ,815 Newtown Pike,02/04/2014,Housing   ,Closed,Closed Out                                        ,03/12/2014
07840917#131-2           ,917 Georgetown St #131,02/04/2014,Housing   ,Closed,Invalid Complaint                                 ,02/18/2014
31853814-2               ,3814 Lady Di Ln,02/04/2014,Housing   ,Closed,Closed/Cancelled-No Response from Tenant          ,02/06/2014
37960515                 ,515 Parsley Dr,02/04/2014,Housing   ,Closed,Closed/Cancelled-No Response from Tenant          ,02/07/2014
40313024                 ,3024 Maddie Ln,02/04/2014,Housing   ,Closed,Closed/Cancelled-No Response from Tenant          ,02/11/2014
10671597-1599W           ,1597-1599 Kilkenny Dr,02/04/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/19/2014
14300339W22              ,339 Oldham Ave,02/04/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/25/2014
33420045-3               ,45 Imperial Ave,02/04/2014,Housing   ,Closed,Resolved Complaint                                ,03/04/2014
34513655W2               ,3655 Rabbits Foot Trl,02/04/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/05/2014
00670498W                ,498 Asbury Ln,02/04/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/05/2014
00670513W                ,513 Asbury Ln,02/04/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/05/2014
00670525W                ,525 Asbury Ln,02/04/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/05/2014
09510026W                ,26 Hollow Creek Rd,02/04/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/05/2014
10661563W                ,1563 Kildare Ct,02/04/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/05/2014
10930637W                ,637 La Salle Rd,02/04/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/05/2014
19530528W                ,528 Van Buren Dr,02/04/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/05/2014
19531582W                ,1582 Van Buren Dr,02/04/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/05/2014
35332945W3               ,2945 Polo Club Blvd,02/04/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/04/2014
