permit_no;date;address;type;work;entity;start;end;lnblock
 29856;06/12/2015;140 Elizabeth St;Street Cut;Maintenance;Kentucky American Water;06/20/2015;07/10/2015;Yes
 29857;06/12/2015;E High St;Street Cut;Maintenance;Kentucky American Water;06/20/2015;07/10/2015;Yes
 29858;06/12/2015;161 Wabash Dr;Street Cut;Maintenance;Kentucky American Water;06/20/2015;07/10/2015;Yes
 29859;06/12/2015;245 Holiday Rd;Street Cut;Maintenance;Kentucky American Water;06/20/2015;07/10/2015;Yes
 29860;06/12/2015;;Street Cut;Maintenance;Kentucky American Water;06/20/2015;07/10/2015;Yes
 29861;06/12/2015;1701 Clays Spring Ln;Street Cut;Maintenance;Kentucky American Water;06/20/2015;07/10/2015;Yes
 29862;06/12/2015;3199 Dewey Dr;Street Cut;Maintenance;Kentucky American Water;06/20/2015;07/10/2015;Yes
 29863;06/12/2015;2801 Palumbo Dr;Annual General Permit;Maintenance;Windstream Communications;06/20/2015;07/11/2015;No
 29848;06/12/2015;1579 Montrose Dr;Installation;Repair;Columbia Gas;06/09/2015;06/12/2015;No
 29849;06/12/2015;1174 Oakwood Dr;Installation;Repair;Columbia Gas;06/09/2015;06/12/2015;No
 29850;06/12/2015;1610 Canterbury Ct;Installation;Repair;Columbia Gas;06/09/2015;06/30/2015;No
 29851;06/12/2015;1661, 1665 Harrogate Rd;Installation;Repair;Columbia Gas;06/09/2015;06/30/2015;No
 29852;06/12/2015;315 Scott St;Street Cut;Maintenance;Columbia Gas;06/08/2015;06/29/2015;Yes
 29853;06/12/2015;321 Scott St;Street Cut;Maintenance;Columbia Gas;06/08/2015;06/29/2015;Yes
 29854;06/12/2015;341 Scott St;Street Cut;Maintenance;Columbia Gas;06/09/2015;06/30/2015;Yes
 29836;06/11/2015;;Installation;New Construction;Contractor;06/11/2015;08/14/2015;No
 29837;06/11/2015;3319 Beaumont Centre Cir;Installation;New Construction;Kentucky American Water;06/18/2015;07/09/2015;No
 29838;06/11/2015;3232 Beaumont Centre Cir;Installation;New Construction;Kentucky American Water;06/18/2015;07/09/2015;No
 29839;06/11/2015;Beaumont Centre Cir;Installation;New Construction;Kentucky American Water;06/18/2015;07/09/2015;No
 29840;06/11/2015;3260 Beaumont Centre Cir;Installation;New Construction;Kentucky American Water;06/18/2015;07/09/2015;No
 29841;06/11/2015;Beaumont Centre Cir;Installation;New Construction;Kentucky American Water;06/18/2015;07/09/2015;No
 29842;06/11/2015;3101 Beaumont Centre Cir;Installation;New Construction;Kentucky American Water;06/18/2015;07/09/2015;No
 29843;06/11/2015;3151  Beaumont Centre Cir;Installation;New Construction;Kentucky American Water;06/18/2015;07/09/2015;No
 29844;06/11/2015;Beaumont Centre Cir;Installation;New Construction;Kentucky American Water;06/18/2015;07/09/2015;No
 29845;06/11/2015;Beaumont Centre Cir;Installation;New Construction;Kentucky American Water;06/18/2015;07/09/2015;No
 29846;06/11/2015;940 Midnight Pass;Installation;New Construction;Kentucky American Water;06/18/2015;07/09/2015;No
 29847;06/11/2015;Beaumont Centre Cir;Installation;New Construction;Kentucky American Water;06/18/2015;07/09/2015;No
 29820;06/10/2015;849 Whitney Ave;Annual General Permit;Repair;Columbia Gas;06/02/2015;06/10/2015;No
 29821;06/10/2015;639 Warrington Dr;Annual General Permit;Repair;Columbia Gas;06/03/2015;06/10/2015;No
 29822;06/10/2015;643 Warrington Dr;Annual General Permit;Repair;Columbia Gas;06/03/2015;06/10/2015;No
 29823;06/10/2015;546 Sandalwood Dr;Installation;Repair;Columbia Gas;06/03/2015;06/10/2015;No
 29824;06/10/2015;1043 Liberty Rd;Installation;Repair;Columbia Gas;06/03/2015;06/10/2015;No
 29825;06/10/2015;1796 Raleigh Rd;Annual General Permit;Repair;Columbia Gas;06/03/2015;06/10/2015;No
 29826;06/10/2015;763 Caden Ln;Installation;Maintenance;Columbia Gas;06/03/2015;06/24/2015;No
 29827;06/10/2015;509 Smith St;Street Cut;Maintenance;Columbia Gas;06/04/2015;06/25/2015;Yes
 29828;06/10/2015;4017 Lilydale Ct;Installation;Repair;Columbia Gas;06/02/2015;06/23/2015;No
 29829;06/10/2015;1711, 1715 Banbury Ct;Installation;Repair;Columbia Gas;06/04/2015;06/10/2015;No
 29830;06/10/2015;2826 Leestown Rd;Annual General Permit;Maintenance;Windstream Communications;06/22/2015;07/13/2015;No
 29831;06/10/2015;386 Gawaine Dr;Annual General Permit;Repair;Columbia Gas;06/05/2015;06/10/2015;No
 29832;06/10/2015;1791 Raleigh Rd;Installation;Repair;Columbia Gas;06/05/2015;06/10/2015;No
 29833;06/10/2015;2044 New Orleans Dr;Installation;Repair;Columbia Gas;06/04/2015;06/10/2015;No
 29834;06/10/2015;1799 Raleigh Rd;Installation;Repair;Columbia Gas;06/04/2015;06/10/2015;No
 29835;06/10/2015;1470 Etawah Dr;Installation;Repair;Columbia Gas;06/04/2015;06/25/2015;No
 29817;06/10/2015;566  W Short St;Annual General Permit;Repair;Columbia Gas;06/02/2015;06/10/2015;No
 29818;06/10/2015;180 Elmwood Dr;Annual General Permit;Repair;Columbia Gas;06/02/2015;06/10/2015;No
 29819;06/10/2015;Blue Ridge Dr;Annual General Permit;;Columbia Gas;06/02/2015;06/10/2015;No
 29813;06/10/2015;1033 S Limestone;Street Cut;Repair;Kentucky American Water;06/03/2015;06/24/2015;Yes
 29814;06/10/2015;98 Glass Ave;Installation;Repair;Kentucky American Water;06/04/2015;06/25/2015;No
 29815;06/10/2015;760 Winchester Rd;Installation;New Construction;Kentucky Utilities;06/26/2015;10/30/2015;No
 29816;06/10/2015;Chinoe Rd;Installation;Maintenance;Kentucky American Water;06/15/2015;07/06/2015;No
 29809;06/05/2015;Winchester Rd;Street Cut;Repair;LFUCG-San Sewers (Water Quality);06/13/2015;07/04/2015;Yes
 29810;06/05/2015;800, 834 Winchester Rd;Street Cut;Repair;LFUCG-San Sewers (Water Quality);06/13/2015;07/04/2015;Yes
 29811;06/05/2015;163 W Short St;Installation;Maintenance;Windstream Communications;06/13/2015;07/04/2015;No
 29812;06/05/2015;1515 Astaire Dr;Installation;Repair;Kentucky American Water;06/03/2015;06/24/2015;No
 29802;06/03/2015;3061 Many Oaks Park;Installation;Maintenance;Kentucky American Water;06/16/2015;07/06/2015;No
 29803;06/03/2015;2008 Coriander Ln;Installation;Maintenance;Kentucky American Water;06/16/2015;07/06/2015;No
 29804;06/03/2015;2296 Executive Dr;Street Cut;Maintenance;Kentucky American Water;06/12/2015;07/02/2015;Yes
 29805;06/03/2015;2100 Liberty Rd;Street Cut;Maintenance;Kentucky American Water;06/12/2015;07/02/2015;Yes
 29806;06/03/2015;3116 Oakhurst Ln;Installation;Maintenance;Kentucky American Water;06/12/2015;07/02/2015;No
 29807;06/03/2015;;Street Cut;Maintenance;Kentucky American Water;06/12/2015;07/02/2015;Yes
 29808;06/03/2015;398 Southland Dr;Street Cut;Maintenance;Kentucky American Water;06/12/2015;07/02/2015;Yes
 29801;06/03/2015;3205/3203 Mammoth Dr;Installation;Repair;Kentucky American Water;06/01/2015;06/22/2015;No
 29799;06/03/2015;416 Malabu Dr;Annual General Permit;Repair;Columbia Gas;05/26/2015;06/03/2015;No
 29800;06/03/2015;2108 Broadhead Pl;Installation;Add/Change Equipment;Kentucky American Water;06/07/2015;06/28/2015;No
 29787;06/02/2015;1053 Pine Bloom Dr;Installation;Maintenance;Kentucky American Water;05/28/2015;06/18/2015;No
 29788;06/02/2015;150 W Lowry Ln;Installation;Maintenance;Kentucky American Water;05/28/2015;06/18/2015;No
 29789;06/02/2015;;Street Cut;Maintenance;LFUCG-San Sewers (Water Quality);05/27/2015;06/17/2015;Yes
 29775;06/02/2015;1815  Richmond Rd;Street Cut;Repair;Columbia Gas;05/28/2015;06/18/2015;Yes
 29790;06/02/2015;540 E Main St;Installation;New Construction;Kentucky Utilities;05/29/2015;11/30/2015;Yes
 29791;06/02/2015;342 Waller Ave;Street Cut;Repair;Kentucky American Water;05/29/2015;06/19/2015;Yes
 29792;06/02/2015;W Fourth St;Street Cut;Repair;Kentucky American Water;05/29/2015;06/19/2015;Yes
 29793;06/02/2015;102 Eastin Rd;Annual General Permit;Maintenance;Windstream Communications;06/10/2015;07/01/2015;No
 29794;06/02/2015;565 Dover Rd;Annual General Permit;Repair;Columbia Gas;05/28/2015;06/02/2015;No
 29795;06/02/2015;2945 Waco Rd;Installation;Repair;Columbia Gas;05/28/2015;06/02/2015;No
