CaseNo;Address_1;DateOpened_1;CaseType;OpenClosed;Status;StatusDate_1
13972348W2               ;2348 Nicholasville Rd;03/25/2014;Nuisance  ;Closed;Invalid Nuisance                                  ;03/26/2014
07140769CONDEM           ;769 Florida St;03/25/2014;Housing   ;Closed;Closed Out                                        ;08/05/2014
16230690                 ;690 Rogers Rd;03/25/2014;Housing   ;Closed;Closed Out                                        ;05/05/2014
16532020CONDEM           ;2020 Russell Cave Rd;03/25/2014;Housing   ;Closed;Closed Out                                        ;06/27/2014
16290437CONDEM           ;437 Roosevelt Blvd;03/25/2014;Housing   ;Closed;Closed Out                                        ;07/08/2014
34671975-2               ;1975 Haggard Ct;03/25/2014;Housing   ;Closed;Closed Out                                        ;07/08/2014
09510534#21-2            ;534 Hollow Creek Rd #21;03/25/2014;Housing   ;Closed;Closed Out                                        ;07/15/2014
02261106-2               ;1106 Boxwood Dr;03/25/2014;Housing   ;Closed;Closed Out                                        ;08/19/2014
07840655-3               ;655 Georgetown St;03/25/2014;Housing   ;Closed;Closed Out                                        ;10/31/2014
07840917-6               ;917 Georgetown St;03/25/2014;Housing   ;Closed;Closed Out                                        ;12/12/2014
11730337#19205           ;337 Lindenhurst Dr #19205;03/25/2014;Housing   ;Closed;Closed Out                                        ;05/12/2014
43512534-3               ;2534 Lindenhurst Loop;03/25/2014;Housing   ;Closed;Closed Out                                        ;06/11/2014
17790289                 ;289 St Margaret Dr;03/25/2014;Housing   ;Closed;Closed Out                                        ;07/29/2014
14380266-9               ;266 Osage Ct;03/25/2014;Housing   ;Closed;Closed Out                                        ;10/27/2014
19601510#F64-2           ;1510 Versailles Rd #F64;03/25/2014;Housing   ;Closed;Closed Out                                        ;05/30/2014
23480882W2               ;882 Wyndham Hills Dr;03/25/2014;Nuisance  ;Closed;Closed Nuisance                                   ;08/25/2014
06892101W5               ;2101 Faye Cir;03/25/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/09/2014
11820502-504W            ;502-504 Lisa Dr;03/25/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/09/2014
14380266W16              ;266 Osage Ct;03/25/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/18/2014
07030516W2               ;516 W Fifth St;03/25/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/18/2014
20680937W2               ;937 Winchester Rd;03/25/2014;Nuisance  ;Closed;Closed/Abated by City                             ;04/21/2014
15923644W3               ;3644 Remora Dr;03/25/2014;Nuisance  ;Closed;Nuisance Closed w/Civil Penalty                   ;04/16/2014
07360301W18              ;301 E Fourth St;03/25/2014;Nuisance  ;Closed;Nuisance Closed w/Civil Penalty                   ;04/14/2014
11751661W7               ;1661 Lindy Ln;03/24/2014;Nuisance  ;Closed;Nuisance Closed w/Civil Penalty                   ;09/08/2014
00941006-3               ;1006 Aurora Ave;03/24/2014;Housing   ;Open  ;Housing w/Civil Penalty                           ;02/11/2015
28060548EMER             ;548 Pleasant Pointe Ct;03/24/2014;Housing   ;Closed;Housing Closed w/Civil Penalty                    ;08/11/2014
19010000SIGNS30          ;0 Todds Rd;03/24/2014;Nuisance  ;Closed;Sign Closed-No Notice Required                    ;03/24/2014
14522601SIGNS            ;2601 Palumbo Dr;03/24/2014;Nuisance  ;Closed;Sign Closed-No Notice Required                    ;03/25/2014
01511922W4               ;1922 Bedinger Ct;03/24/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/08/2014
19930843W11              ;843 Ward Dr;03/24/2014;Nuisance  ;Closed;Closed Nuisance                                   ;05/09/2014
32462092W5               ;2092 Cornerstone Dr;03/24/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/09/2014
32462076W5               ;2076 Cornerstone Dr;03/24/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/09/2014
32462016W2               ;2016 Cornerstone Dr;03/24/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/09/2014
32462060W5               ;2060 Cornerstone Dr;03/24/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/09/2014
15033100W4               ;3100 Pimlico Pkwy;03/24/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/14/2014
29763660S                ;3660 Park Pointe Dr;03/24/2014;Housing   ;Closed;Closed Out                                        ;06/10/2014
29763696S                ;3696 Park Pointe Dr;03/24/2014;Housing   ;Closed;Closed Out                                        ;06/26/2014
29773616S                ;3616 Green Park Ct;03/24/2014;Housing   ;Closed;Closed Out                                        ;06/26/2014
29773665S                ;3665 Green Park Ct;03/24/2014;Housing   ;Closed;Closed Out                                        ;06/24/2014
29783612S                ;3612 Fair Ridge Dr;03/24/2014;Housing   ;Closed;Closed Out                                        ;06/26/2014
29783617S                ;3617 Fair Ridge Dr;03/24/2014;Housing   ;Closed;Closed Out                                        ;06/26/2014
04181612S3               ;1612 Clayton Ave;03/24/2014;Housing   ;Closed;Closed Out                                        ;08/01/2014
13440462#BEMER           ;462 Morgan Ave #B;03/24/2014;Housing   ;Closed;Closed Out                                        ;04/02/2014
30620212-3               ;212 Old Georgetown St (Porch);03/24/2014;Housing   ;Closed;Closed Out                                        ;05/27/2014
30620216-3               ;216 Old Georgetown St;03/24/2014;Housing   ;Closed;Closed Out                                        ;07/08/2014
43512532EMER             ;2532 Lindenhurst Loop;03/24/2014;Housing   ;Closed;Closed Out                                        ;04/09/2014
03910521-3               ;521 Chestnut St;03/24/2014;Housing   ;Closed;Invalid Complaint                                 ;03/24/2014
27430000                 ;0 Cottage Cir;03/24/2014;Housing   ;Closed;Invalid Complaint                                 ;03/27/2014
19440520W4               ;520 N Upper St;03/24/2014;Nuisance  ;Closed;Invalid Nuisance                                  ;03/24/2014
12670409W27              ;409 E Maxwell St;03/24/2014;Nuisance  ;Closed;Invalid Nuisance                                  ;03/25/2014
32462084W3               ;2084 Cornerstone Dr;03/24/2014;Nuisance  ;Closed;Invalid Nuisance                                  ;04/01/2014
35333776                 ;3776 Polo Club Blvd;03/24/2014;Housing   ;Open  ;Reinspection                                      ;02/20/2015
03270234S2               ;234 Carlisle Ave;03/21/2014;Housing   ;Open  ;Reinspection                                      ;07/24/2014
03041937#2-2             ;1937 Cambridge Dr #2;03/21/2014;Housing   ;Closed;Resolved Complaint                                ;03/25/2014
00231263W6               ;1263 Alexandria Dr;03/21/2014;Nuisance  ;Closed;Invalid Nuisance                                  ;03/27/2014
03042016W9               ;2016 Cambridge Dr;03/21/2014;Nuisance  ;Closed;Invalid Nuisance                                  ;03/27/2014
09730325W6               ;325 Hummingbird Ln;03/21/2014;Nuisance  ;Closed;Invalid Nuisance                                  ;03/24/2014
32462092W#D              ;2092 Cornerstone Dr #D;03/21/2014;Nuisance  ;Closed;Invalid Nuisance                                  ;03/21/2014
32462084W#C              ;2084 Cornerstone Dr #C;03/21/2014;Nuisance  ;Closed;Invalid Nuisance                                  ;03/24/2014
32462076W#D              ;2076 Cornerstone Dr #D;03/21/2014;Nuisance  ;Closed;Invalid Nuisance                                  ;03/24/2014
11070147                 ;147 Lakeshore Dr;03/21/2014;Housing   ;Closed;Invalid Complaint                                 ;03/25/2014
12670303-2               ;303 E Maxwell St;03/21/2014;Housing   ;Closed;Invalid Complaint                                 ;03/25/2014
18862467S3               ;2467 Thornberry Ct;03/21/2014;Housing   ;Closed;Closed Out                                        ;09/09/2014
13290328                 ;328 Mockingbird Ln;03/21/2014;Housing   ;Closed;Closed Out                                        ;06/05/2014
17523362                 ;3362 Spangler Dr;03/21/2014;Housing   ;Closed;Closed Out                                        ;09/11/2014
14522845#3D              ;2845 Palumbo Dr #3d;03/21/2014;Housing   ;Closed;Closed Out                                        ;07/25/2014
00231294W9               ;1294 Alexandria Dr;03/21/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/07/2014
16730248W7               ;248 Savoy Rd;03/21/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/15/2014
02171258W                ;1258 Bordeaux Dr;03/21/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/22/2014
05212017W11              ;2017 Daniel Ct;03/21/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/22/2014
00232273W                ;2273 Alexandria Dr;03/21/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/11/2014
03891915W4               ;1915 Cherry Ct;03/21/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/07/2014
03891921W6               ;1921 Cherry Ct;03/21/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/07/2014
15892529W                ;2529 Regency Rd;03/21/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/10/2014
26220249W                ;249 Forest Hill Dr;03/21/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/07/2014
32462068W6               ;2068 Cornerstone Dr;03/21/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/09/2014
06470513W                ;513 Elm Tree Ln;03/21/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/04/2014
13290333                 ;333 Mockingbird Ln;03/21/2014;Housing   ;Closed;Housing Closed w/Civil Penalty                    ;10/31/2014
13910169W15              ;169 Newcastle St;03/21/2014;Nuisance  ;Closed;Nuisance Closed w/Civil Penalty                   ;04/03/2014
11100709W18              ;709 Lakeview Dr;03/21/2014;Nuisance  ;Closed;Nuisance Closed w/Civil Penalty                   ;04/08/2014
09730321W4               ;321 Hummingbird Ln;03/21/2014;Nuisance  ;Closed;Nuisance Resolved w/o Notice/Order                ;03/24/2014
00681240-2               ;1240 Ascot Park;03/20/2014;Nuisance  ;Closed;Nuisance Resolved w/o Notice/Order                ;03/24/2014
12270647W2               ;647 W Main St;03/20/2014;Nuisance  ;Closed;Nuisance Resolved w/o Notice/Order                ;03/24/2014
16891910W2               ;1910 Seven Pines Dr;03/20/2014;Nuisance  ;Closed;Nuisance Closed w/Civil Penalty                   ;10/13/2014
06381496W7               ;1496 Elizabeth St;03/20/2014;Nuisance  ;Closed;Nuisance Closed w/Civil Penalty                   ;04/10/2014
32420616W13              ;616 Smugglers Notch Dr;03/20/2014;Nuisance  ;Closed;Nuisance Closed w/Civil Penalty                   ;04/08/2014
06470619W5               ;619 Elm Tree Ln;03/20/2014;Nuisance  ;Closed;Nuisance Closed w/Civil Penalty                   ;12/11/2014
19600000SIGNS25          ;0 Versailles Rd;03/20/2014;Nuisance  ;Closed;Sign Closed-No Notice Required                    ;03/27/2014
23470000SIGNS247         ;0 Man O War Blvd;03/20/2014;Nuisance  ;Closed;Sign Closed-No Notice Required                    ;03/21/2014
